Student Name,email,password,phone,blood group,gender,bithday,Address
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Marah Petersen,student2@gmail.com,password,9676183453,a+,female,7/21/2001,cdo
Colby Maxwell,student3@gmail.com,password,9676183453,a+,male,7/21/2001,cdo
Soledad G. Parish,student4@gmail.com,password,9676183453,a+,female,7/21/2001,cdo
Iris Mcguire,student5@gmail.com,password,9676183453,a+,male,7/21/2001,cdo
Clayton Fernandez,student6@gmail.com,password,9676183453,a+,male,7/21/2001,cdo
Quincy Hicks,student7@gmail.com,password,9676183453,a+,female,7/21/2001,cdo
Whilemina Emerson,student8@gmail.com,password,9676183453,a+,female,7/21/2001,cdo
Dolores M. Sinclair,student9@gmail.com,password,9676183453,a+,female,7/21/2001,cdo
Bertha N. Fisher,student10@gmail.com,password,9676183453,a+,female,7/21/2001,cdo
Emi Goodwin,parent1@gmail.com,password,9676183453,a+,female,7/21/2001,cdo
Linus Fernandez,parent2@gmail.com,password,9676183453,a+,male,7/21/2001,cdo
Mara Mann,parent3@gmail.com,password,9676183453,a+,female,7/21/2001,cdo
Brenda Lawrence,parent4@gmail.com,password,9676183453,a+,female,7/21/2001,cdo
Casey Pena,parent5@gmail.com,password,9676183453,a+,male,7/21/2001,cdo
Bruce Richardson,parent6@gmail.com,password,9676183453,a+,female,7/21/2001,cdo
Sopoline Wise,parent7@gmail.com,password,9676183453,a+,female,7/21/2001,cdo
Steven Vaughn,parent7@gmail.com,password,9676183453,a+,female,7/21/2001,cdo
Stella Hodge,parent9@gmail.com,password,9676183453,a+,female,7/21/2001,cdo
